rank_abs,feature,correlation,abs_correlation,r_squared,slope_status_on_feature,intercept,p_value,mean,sd
131,E_V_L2,0.21081340692197034,0.21081340692197034,0.04444229253804825,13.201572606692169,1.271257637837628,2.1287429510062815e-05,0.017326902557534517,0.017876031554245185
132,E_D_L2,0.2089725300614569,0.2089725300614569,0.04366951832028651,90.50054693537247,1.2379277581186974,2.5202859132338205e-05,0.002895808376367621,0.002584857174545795
133,ampSkew_D_L2,-0.2089482851298752,0.2089482851298752,0.04365938585871563,-0.4394146728516482,2.119618235881595,2.5258715037758225e-05,1.410099102655104,0.5323077764420391
134,E_H_L6,0.20772841221706936,0.20772841221706936,0.04315109324222469,0.03361691694519408,1.0360611358562737,2.8225516649849078e-05,13.800755878359977,6.917299418470201
135,ampStd_V_L2,0.20698868700158535,0.20698868700158535,0.04284431654664027,6.572530424711771,1.025075751017229,3.0182241900027522e-05,0.07225896546589179,0.035254337582291684
136,E_V_L1,0.20591082769671365,0.20591082769671365,0.0423992689627457,339.5427567797586,1.2407661177393263,3.326458652061912e-05,0.0007634793471056826,0.000678864765151699
137,E_H_L1,0.2009298178204785,0.2009298178204785,0.04037279168937068,328.97646517308124,1.1969360599983214,5.179601318530771e-05,0.000921232890754755,0.0006837197339621438
138,ampStd_V_L1,0.19669354143159426,0.19669354143159426,0.03868834924090229,27.87024569481327,1.0489638153775005,7.485133823889233e-05,0.01618343051444425,0.007900377742284963
139,log2E_D_L2,0.19660747882943644,0.19660747882943644,0.0386545007316673,0.17287193220799,3.0527680208520747,7.540730764421641e-05,-8.982186992529646,1.273133958368746
140,ampEntropy_H_L5,0.19642412704335266,0.19642412704335266,0.03858243768474315,6.708061214082514,-3.8231950761236284,7.660476975609906e-05,0.7935519528278039,0.03277905046976808
141,orientEntropy_L5,0.1939986466307044,0.1939986466307044,0.03763547489454492,6.82817772797417,-4.992791554157413,9.422868848574776e-05,0.9508820380520087,0.03180478307992757
142,p_H_L2,-0.19293897450531233,0.19293897450531233,0.03722544788316156,-2.9675907854088215,2.822545518194212,0.0001030693273409056,0.4456630357180515,0.07278041142292038
143,ampMean_H_L1,0.19030524757819414,0.19030524757819414,0.036216087255797766,26.391470792019568,0.9057166932849282,0.0001285371867364995,0.022518006343730385,0.008072084958548517
144,std_R,0.19008016077129525,0.19008016077129525,0.03613046751884145,5.057053092513681,0.7446726232015766,0.0001309680463199024,0.1493611720067936,0.04207632798423167
